name,price,store,location,sold,details_link
Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 250Ml,Rp60.000,Guardian Official Store,Kab. Bekasi,70+ terjual,https://www.tokopedia.com/guardian-officia/earth-love-life-javanese-moringa-balinese-starfruit-body-wash-250ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Paket Bundling: Kelor Energizer |  Biskuit Sehat (Healthy Sorghum Raisin) + Teh Kelor (Moringa Drip Tea) |Brand : La Moringa,Rp130.767,La Moringa Indonesia,Jakarta Selatan,19 terjual,https://www.tokopedia.com/lamoringa/paket-bundling-kelor-energizer-biskuit-sehat-healthy-sorghum-raisin-teh-kelor-moringa-drip-tea-brand-la-moringa?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
[BONUS PARFUM SAAT LIVE] Moringa Dari Inspired Parfum Bandung,Rp83.000,INspired Parfum bandung,Bandung,70+ terjual,https://www.tokopedia.com/zahradila/bonus-parfum-saat-live-moringa-dari-inspired-parfum-bandung-55ml-super-premium-b026e?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Kapsul Ekstrak Daun Kelor Moringa Isi 500mg @500mg - Resmi BPOM,Rp34.000,Sumber & Waras,Surabaya,100+ terjual,https://www.tokopedia.com/sumberwarassehat/kapsul-ekstrak-daun-kelor-moringa-isi-500mg-500mg-resmi-bpom?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Moringa Oleifera 300 Capsules Naturama,Rp288.500,Naturama Herb,Jakarta Selatan,27 terjual,https://www.tokopedia.com/naturamaherb/moringa-oleifera-300-capsules-naturama?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
DAUN KELOR BUBUK 50 GRAM 140 GRAM PREMIUM ORIGINAL ASLI MORINGA LEAVES POWDER ORGANIK MURNI BUMBU MASAKAN,Rp11.000,Nutrifarm Official,Kab. Tangerang,250+ terjual,https://www.tokopedia.com/nutrimartofficial/daun-kelor-bubuk-50-gram-140-gram-premium-original-asli-moringa-leaves-powder-organik-murni-bumbu-masakan-50-gram-7f4c1?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Evershine Moringa Gentle Body Wash - Sabun Mandi Anti Jerawat Badan,Rp200.000,Evershine Official,Jakarta Barat,50+ terjual,https://www.tokopedia.com/evershine/evershine-moringa-gentle-body-wash-sabun-mandi-anti-jerawat-badan?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Momsy Asi Booster Pelancar Asi MOMSY BPOM HALAL Natural Almond Moringa/Kelor Ikan Gabus Fenugreek,Rp65.000,OJ Home,Tangerang,2 terjual,https://www.tokopedia.com/chocoberry7/momsy-asi-booster-pelancar-asi-momsy-bpom-halal-natural-almond-moringa-kelor-ikan-gabus-fenugreek-momsy-isi-30-b2d58?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Pro Moringa - Kapsul Ekstrak Daun Kelor Original,Rp22.000,Alfa Goes,Medan,100+ terjual,https://www.tokopedia.com/alfagoes/pro-moringa-kapsul-ekstrak-daun-kelor-original?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
De Moringa Kapsul Sari Daun Kelor,Rp35.000,Berkah Abadi020,Kab. Sumedang,23 terjual,https://www.tokopedia.com/berkahabadi020/de-moringa-kapsul-sari-daun-kelor?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
MOSEHAT Obat Herbal Moringa Daun Kelor Habbatussauda Propolis Original,Rp225.000,Agen Mosehat,Jakarta Timur,3rb+ terjual,https://www.tokopedia.com/agen-mosehat/mosehat-obat-herbal-moringa-daun-kelor-habbatussauda-propolis-original?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Serbuk Daun Kelor 100 gr Bubuk Moringa Original 100 %,Rp8.800,TheHalalFoods,Kab. Tangerang,250+ terjual,https://www.tokopedia.com/thehalal/serbuk-daun-kelor-100-gr-bubuk-moringa-original-100?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Dari Bumi Paket Bundling Daun Kelor Bubuk Moringa 150 Gram Dan Madu Multiflora 350 Gram Raw Honey,Rp64.900,daribumiofficial,Jakarta Barat,100+ terjual,https://www.tokopedia.com/daribumiofc/dari-bumi-paket-bundling-daun-kelor-bubuk-moringa-150-gram-dan-madu-multiflora-350-gram-raw-honey?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Mom Uung Breastmilk Booster ASI dg Ekstrak Moringa dan Channa MomUung,Rp120.000,Rufda,Depok,750+ terjual,https://www.tokopedia.com/rufda/mom-uung-breastmilk-booster-asi-dg-ekstrak-moringa-dan-channa-momuung-isi-60pcs?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
MORINGA TEA / TEH DAUN KELOR / SUPERFOOD MORINGA LEAVES ASI BOOSTER,Rp7.000,Seduh Pertama,Kab. Bekasi,80+ terjual,https://www.tokopedia.com/tavishamahadana/moringa-tea-teh-daun-kelor-superfood-moringa-leaves-asi-booster-10-gram?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
PROMO HEMAT - DND MORINGA PLUS 30 KAPSUL - BANTU PENUHI NUTRISI TUBUH - ORIGINAL,Rp248.768,DND World Indonesia Official,Depok,,https://www.tokopedia.com/dndindonesiaofficial/promo-hemat-dnd-moringa-plus-30-kapsul-bantu-penuhi-nutrisi-tubuh-original-1730921080467523130?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
Teh Daun Kelor Siap Seduh Moringa Tea premium,Rp18.000,Rempah Bu Risma,Kab. Bekasi,250+ terjual,https://www.tokopedia.com/rempahburisma/teh-daun-kelor-siap-seduh-moringa-tea-premium?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
EARTH LOVE LIFE Javanese Moringa & Balinese Starfruit Body Wash| Sabun Mandi Cair Wangi Fragrance Premium Tahan Lama Bahan Natural Aman & Lembut di Kulit| Sabun Mandi Alami & Menyegarkan| Sabun mandi Mencerahkan,Rp71.100,Earth Love Life Official,Jakarta Selatan,100+ terjual,https://www.tokopedia.com/earthlovelife/earth-love-life-javanese-moringa-balinese-starfruit-body-wash-sabun-mandi-cair-wangi-fragrance-premium-tahan-lama-bahan-natural-aman-lembut-di-kulit-sabun-mandi-alami-menyegarkan-sabun-mandi-mencerahkan?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26whid%3D15988320&src=topads
JUAL DAUN KELOR KERING PREMIUM/TEH KELOR/MORINGA TEA 500 GRAM,Rp33.500,ROSELLAKU,Surabaya,1rb+ terjual,https://www.tokopedia.com/jualtehrosella/jual-daun-kelor-kering-premium-teh-kelor-moringa-tea-500-gram?extParam=ivf%3Dtrue%26keyword%3Dmoringa&src=topads
SVA Organics Moringa Oil 4 Oz Organic 100% Pure & Natural Carrier Oil,Rp699.000,Natura Finest,Kab. Bogor,,https://www.tokopedia.com/naturafinest/sva-organics-moringa-oil-4-oz-organic-100-pure-natural-carrier-oil?extParam=ivf%3Dfalse%26keyword%3Dmoringa&src=topads
