name,price,store,location,sold,details_link
Flozindo Moringa Powder / Daun Kelor Bubuk Organik Superfood Alami Kaya Nutrisi,Rp17.093,Flozindo,Kab. Banyumas,1rb+ terjual,https://www.tokopedia.com/flozindo/flozindo-moringa-powder-daun-kelor-bubuk-organik-superfood-alami-kaya-nutrisi-slim-108gr-29f6a?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
10 TEA BAG - MORINGA TEA ASI BOOSTER | FLOWER TEA SIAP SEDUH,Rp6.900,Seduh Pertama,Kab. Bekasi,250+ terjual,https://www.tokopedia.com/tavishamahadana/10-tea-bag-moringa-tea-asi-booster-flower-tea-siap-seduh?extParam=ivf%3Dtrue%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
The Body Shop New Moringa Body Mist 100ml,Rp169.000,The Body Shop Indonesia,,3rb+ terjual,https://www.tokopedia.com/tbs-official/the-body-shop-new-moringa-body-mist-100ml?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Teh celup daun kelor MORINGA,Rp15.000,Al-fazza Herbal,Kab. Magelang,1rb+ terjual,https://www.tokopedia.com/al-fazzaherbal/teh-celup-daun-kelor-moringa?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Moringa Kapsul Daun Kelor Naturama Premium Organik,Rp288.500,Naturama Store,Jakarta Selatan,100+ terjual,https://www.tokopedia.com/naturama/moringa-kapsul-daun-kelor-naturama-premium-organik?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
pohon moringa,Rp35.000.000,novel flora,Kab. Bogor,,https://www.tokopedia.com/novelflora/pohon-moringa?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
100gr Daun Kelor Bubuk / Ground Moringa / Rempah / JSR 100% PREMIUM,Rp13.900,Cap Sahabat,Bandung,250+ terjual,https://www.tokopedia.com/capsahabat/100gr-daun-kelor-bubuk-ground-moringa-rempah-jsr-100-premium?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Sample Pack HERBAL TISANE Series A - Moringa Lemon Orange Pandan tea,Rp1.950,Seduh Tea & Tisane,Kab. Bekasi,1rb+ terjual,https://www.tokopedia.com/seduhtisane/sample-pack-herbal-tisane-series-a-moringa-lemon-orange-pandan-tea-coffee-cascara?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Daun Kelor Bubuk Murni Moringa Powder Herbal Original Super Food,Rp8.900,Batavia Herbal Shop,Jakarta Pusat,2rb+ terjual,https://www.tokopedia.com/bataviaherbalshop/daun-kelor-bubuk-murni-moringa-powder-herbal-original-super-food?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Daun Kelor Kering / Dried Moringa Leaf / Teh Daun Kelor,Rp12.000,Essenli Official Shop,Semarang,100+ terjual,https://www.tokopedia.com/essenliofficial/daun-kelor-kering-dried-moringa-leaf-teh-daun-kelor?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
Natur Shampoo Moringa & Sweet Almond Oil,Rp30.062,Natur,Jakarta Timur,750+ terjual,https://www.tokopedia.com/backtonatur/natur-shampoo-moringa-sweet-almond-oil?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch%26whid%3D364279
"Organic Moringa Leaf Powder, Original Microingredients Isi 102 Grams",Rp167.500,Gerai Toko Herbal,Surabaya,40+ terjual,https://www.tokopedia.com/geraitokoherbal/organic-moringa-leaf-powder-original-microingredients-isi-102-grams?extParam=ivf%3Dfalse%26keyword%3Dmoringa%26search_id%3D20250308182847AD077EC5A068CB0CA4BS%26src%3Dsearch
